title,developers,genres,platforms
.kkrieger,"Farbrausch, .theprodukkt","science fiction video game, action game, first-person shooter",Microsoft Windows
0 A.D.,"Stanislas Dolcini, Wildfire Games","historical video game, real-time strategy","Linux, Microsoft Windows, macOS, Berkeley Software Distribution"
007 Legends,Eurocom,first-person shooter,"Microsoft Windows, PlayStation 3, Wii U"
007: Licence to Kill,Unknown,shoot 'em up,"ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Atari ST, Amstrad CPC, MSX, BBC Micro"
10th Frame,Indie Built,"bowling video game, sports video game","ZX Spectrum, Commodore 64, DOS, Amstrad CPC, MSX"
180,Unknown,darts video game,"ZX Spectrum, Commodore 64, Amstrad CPC, MSX"
19 Part One: Boot Camp,Unknown,military education and training,"ZX Spectrum, Commodore 64"
24: The Game,Guerrilla Cambridge,third-person shooter,Unknown
3-D Monster Chase,Unknown,maze video game,"ZX Spectrum, Amstrad CPC"
3-D Tic-Tac-Toe,Atari,strategy video game,"Atari 2600, Atari 8-bit family"
3D Construction Kit,Incentive Software,"game creation system, graphics software, 3D computer graphics software","ZX Spectrum, Acorn Archimedes, Commodore 64, Commodore Amiga, DOS, Atari ST, Amstrad CPC, Commodore 128"
3D Knockout,Unknown,boxing video game,MSX
3D Tanx,Don Priestley,shoot 'em up,"ZX Spectrum, Commodore 64, BBC Micro"
3D Tunnel,Malcolm Evans,shoot 'em up,"ZX Spectrum, Commodore 64"
50 Mission Crush,Unknown,Computer wargame,"Apple II, Atari 8-bit computers, Commodore 64, MS-DOS"
720°,"Atari Games, Tiertex Design Studios","skateboarding video game, action game","ZX Spectrum, Commodore 64, Nintendo Entertainment System, Game Boy Color, Amstrad CPC, Atari System 2"
750cc Grand Prix,Unknown,racing video game,"ZX Spectrum, Amstrad CPC"
A Question of Sport,Elite Systems,"quiz video game, sports video game","ZX Spectrum, Commodore 64, Commodore Amiga, Atari ST, Amstrad CPC, BBC Micro"
A View to a Kill,Unknown,action game,"ZX Spectrum, Commodore 64, Amstrad CPC, MSX"
A-Jax,Konami,shooter game,"ZX Spectrum, Commodore 64, DOS, arcade video game machine, Amstrad CPC, PlayStation 4"
Aaargh!,Unknown,action game,"ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Atari ST, Amstrad CPC, Classic Mac OS, Apple IIGS, Arcadia Systems, MSX"
Abyss,Cases Computer Simulations,adventure video game,"ZX Spectrum, Commodore 64, Commodore Amiga"
Addiction Pinball,Team17,Pinball,"Microsoft Windows, PlayStation (console)"
AFL Premiership 2006,Unknown,Unknown,Unknown
Amnesia: The Dark Descent,Frictional Games,psychological horror fiction,"Linux, Microsoft Windows, macOS"
AR Games,Unknown,Unknown,Unknown
ARCA Sim Racing '08,Unknown,Unknown,Unknown
Archon: The Light and the Dark,Free Fall Associates,fighting game,"ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Amstrad CPC, Classic Mac OS"
Arkanoid,Taito,Breakout clone,"Wii, ZX Spectrum, iOS, Commodore 64, Commodore Amiga, DOS, Nintendo DS, Super Nintendo Entertainment System, Nintendo Entertainment System, Amstrad CPC, MSX, Atari ST, Apple IIGS, Classic Mac OS"
Assassin's Creed II,Ubisoft Montreal,"historical video game, stealth game, third-person shooter, action-adventure game","Microsoft Windows, PlayStation 3, macOS, PlayStation 4"
Axie Infinity,Sky Mavis,"Non-fungible token, Online game, Strategy game","Android (operating system), IOS, MacOS, Microsoft Windows"
Back to the Future,Krome Studios Melbourne,action-adventure game,"ZX Spectrum, Commodore 64, Nintendo Entertainment System, Amstrad CPC"
Battle Cross (1994 video game),A-Max,"Action game, Racing game",Super Nintendo Entertainment System
Battle Pingpong,Quest Corporation,Sports video game,Game Boy
Battle Rap Stars,Jump Shot Media,Unknown,"IOS, Mobile phone"
Battle Submarine,Unknown,Submarine simulator,Super Nintendo Entertainment System
Battle Tanks,Gameloft,Multidirectional shooter,PlayStation 3
Battlefield 2: Modern Combat,DICE (company),First-person shooter,"PlayStation 2, Xbox (console), Xbox 360"
Battleground 2: Gettysburg,TalonSoft,Computer wargame,Microsoft Windows
Battleground 5: Antietam,TalonSoft,Computer wargame,Microsoft Windows
Battleships (video game),Elite Systems,Turn-based strategy,"Amiga, Amstrad CPC, Atari ST, BBC Micro, Commodore 64, ZX Spectrum"
BattleTech: The Crescent Hawk's Inception,Westwood Studios,Role-playing video game,"Amiga, Apple II, Atari ST, Commodore 64, MS-DOS"
Bazooka Bill,Beam Software,Action game,"Commodore 64, ZX Spectrum"
BeamWars,Unknown,Snake (video game genre),Mac operating systems
Beany Bopper,Sirius Software,Multidirectional shooter,Atari 2600
Beep (video game),Unknown,Platformer,"Linux, MacOS, Microsoft Windows"
Bejeweled Blitz,"PopCap Games, Torpex Games",Puzzle video game,"Android (operating system), Facebook, IOS, MacOS, Microsoft Windows, Xbox 360"
Beyond: Two Souls,Quantic Dream,"interactive film, science fiction video game, action-adventure game","Microsoft Windows, PlayStation 3, PlayStation 4"
Bionic Commando,"Capcom, Minakuchi Engineering Co., Ltd.","platform game, Metroidvania","ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Nintendo Entertainment System, Atari ST, Amstrad CPC"
Black Mesa,Crowbar Collective,"science fiction video game, first-person shooter","Linux, Microsoft Windows"
Blair Witch Volume II: The Legend of Coffin Rock,Human Head Studios,Survival horror,Microsoft Windows
Blitz (video game),Unknown,Action game,VIC-20
Blue Reflection,Gust (company),Role-playing video game,"Microsoft Windows, PlayStation 4, PlayStation Vita"
Boulder Dash,First Star Software,puzzle video game,"Android, ZX Spectrum, iOS, Commodore 64, Commodore Amiga, Nintendo Entertainment System, Game Boy, Apple II series, IBM Personal Computer, Atari ST, Atari 8-bit family, Amstrad CPC, MSX, Super Cassette Vision, ColecoVision, FM-7, Windows Phone"
Boundless (video game),Turbulenz,"Massively multiplayer online game, Sandbox game",Unknown
Bravely Archive: D's Report,Square Enix,Role-playing video game,"Android (operating system), IOS"
Breachers VR,Unknown,Tactical shooter,Unknown
Bring me Sandwiches!!,Grumpyface Studios,Platformer,IOS
Bubble Dizzy,Oliver Twins,action game,"ZX Spectrum, Commodore Amiga, DOS, Atari ST, Amstrad CPC"
Cabal,TAD Corporation,cabal shooter,"ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Nintendo Entertainment System, Atari ST, Amstrad CPC"
California Games,Epyx,sports video game,"ZX Spectrum, Microsoft Windows, Sega Genesis, Commodore 64, iOS, Commodore Amiga, DOS, Nintendo Entertainment System, Atari 2600, Atari ST, Amstrad CPC, MSX, Apple IIGS, Atari Lynx"
Call of Duty: Black Ops: Declassified,NStigate Games,First-person shooter,PlayStation Vita
Captain Blood,ERE Informatique,"science fiction video game, simulation video game, adventure video game","ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Atari ST, Amstrad CPC, Olivetti Prodest PC 128, Classic Mac OS, Apple IIGS, MOTO Gamme"
Captain Dynamo,Codemasters,platform game,"ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Amstrad CPC, Atari ST"
Carlos Sainz: World Rally Championship,Zigurat (company),Racing game,"Amstrad CPC, MS-DOS, MSX, ZX Spectrum"
Celeste (video game),Maddy Makes Games,Platformer,Unknown
Chessmaster 4000 Turbo,The Software Toolworks,Strategy video game,"Classic Mac OS, Microsoft Windows"
Chronicles of Mystery: The Tree of Life,CI Games,Adventure game,Microsoft Windows
Chronotron,Unknown,"Platformer, Puzzle video game",Adobe Flash
Chrysler Classic Racing,Unknown,Racing game,"Nintendo DS, Wii"
Cinders (video game),Unknown,Visual novel,"MacOS, Microsoft Windows, Nintendo Switch, PlayStation 4, Xbox One"
Circus,Unknown,arcade,"Commodore 64, arcade video game machine, Atari 2600"
Citizen Sleeper 2: Starward Vector,Unknown,Role-playing video game,Unknown
Civilization V,Firaxis Games,"turn-based strategy video game, 4X","Linux, Microsoft Windows, macOS"
Cobalt Core,Unknown,Roguelike deck-building game,Unknown
Commandos 2: Men of Courage,Pyro Studios,"multiple perspectives role-playing, real-time tactics","Microsoft Windows, macOS"
Cool Cool Toon,SNK,Rhythm game,Dreamcast
Cool World (SNES video game),Unknown,Action game,Super Nintendo Entertainment System
Corpse Craft: Incident at Weardd Academy,Unknown,"Puzzle video game, Real-time strategy","Adobe Flash, IOS"
Corvette Evolution GT,Milestone (Italian company),Racing game,"Microsoft Windows, Nintendo DS, PlayStation 2"
Cosmic Fantasy 2,Telenet Japan,Role-playing video game,TurboGrafx-16
Crab Champions,Noisestorm,"Roguelike, Third-person shooter",Microsoft Windows
Cricket 2004,"Beam Software, EA Vancouver, HB Studios",Sports video game,"Java Platform, _Micro_Edition, MS-DOS, Microsoft Windows, PlayStation 2, Xbox (console)"
Crime and Punishment (video game),Imagic,Unknown,"Apple II, Commodore 64, MS-DOS"
Crimson Dragon,Yukio Futatsugi,Rail shooter,Xbox One
Crusader: No Regret,Origin Systems,Third-person shooter,MS-DOS
Crystal Kingdom Dizzy,Codemasters,"Adventure game, Platformer","Amiga, Amiga CD32, Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum"
Daigasso! Band Brothers,"Nintendo Research & Development 2, Nintendo Software Planning & Development",Music video game,Nintendo DS
Death to Spies,Unknown,"shooter game, stealth game, third-person shooter",Microsoft Windows
Deathchase,Unknown,"vehicular combat game, shoot 'em up",ZX Spectrum
Deus Ex: Human Revolution,Eidos-Montréal,"Action role-playing game, First-person shooter, Stealth game","MacOS, Microsoft Windows, PlayStation 3, Wii U, Xbox 360"
Dissidia Final Fantasy,Square Enix,"Action role-playing game, Fighting game",PlayStation Portable
Dissidia Final Fantasy Opera Omnia,"Square Enix, Team Ninja",Turn-based role-playing game,"Android (operating system), IOS"
DK: King of Swing,Paon DP,puzzle video game,"Wii U, Game Boy Advance"
DNF Duel,"Arc System Works, Eighting",Fighting game,Unknown
Donkey Kong,"Ikegami Tsushinki, Nintendo Research & Development 1",platform game,"ZX Spectrum, Commodore 64, Famicom Disk System, Commodore Amiga, DOS, Nintendo Entertainment System, Game Boy Advance, IBM Personal Computer, Atari 2600, Game & Watch series, Atari 7800, Apple II, arcade video game machine, Coleco, ColecoVision, Intellivision, Nintendo e-Reader, MSX, Commodore VIC-20, Atari 8-bit family, Texas Instruments TI-99/4A, Amstrad CPC"
Dungeons 4,Kalypso Media,"Construction and management simulation, Simulation video game, Strategy video game","Microsoft Windows, Nintendo Switch, PlayStation 5, Xbox Series X and Series S"
Empire Earth,Stainless Steel Studios,"strategy video game, real-time strategy",Microsoft Windows
Essays on Empathy,Deconstructeam,Adventure game,Microsoft Windows
Europa Universalis III,Paradox Development Studio,List of grand strategy video games,"MacOS, Microsoft Windows"
Europa Universalis V,Paradox Development Studio,Grand strategy wargame,Microsoft Windows
Everybody 1-2-Switch!,"Nintendo Cube, Nintendo Entertainment Planning & Development",Party video game,Nintendo Switch
Evolution (1982 video game),Don Mattrick,Science fiction,"Apple II, Atari, ColecoVision, Commodore 64, IBM Personal Computer"
Exodus: Journey to the Promised Land,Color Dreams,"Christian video game, Puzzle","Game Boy, MS-DOS, Nintendo Entertainment System, Sega Genesis"
F1 Race,"HAL Laboratory, Nintendo Research & Development 1",Racing game,"Game Boy, Nintendo Entertainment System"
Fatal Fury: City of the Wolves,Unknown,Fighting game,Unknown
FBC: Firebreak,Remedy Entertainment,First-person shooter,Unknown
FIFA Manager 10,Unknown,Unknown,Unknown
Fighter Duel Pro 2,Jaeger Software,Simulation video game,Amiga
Final Fantasy VII,Square,"cyberpunk video game, role-playing video game","Android, Microsoft Windows, iOS, PlayStation 4"
Final Fantasy XIV: Endwalker,Square Enix,Massively multiplayer online role-playing game,"MacOS, Microsoft Windows, PlayStation 4, PlayStation 5, Xbox Series X and Series S"
Fire Emblem: Shadow Dragon and the Blade of Light,"Intelligent Systems, Nintendo Research & Development 1",tactical role-playing game,"Wii, Wii U, Nintendo Entertainment System, Nintendo 3DS"
Fire Emblem: The Blazing Blade,Intelligent Systems,tactical role-playing game,"Wii U, Game Boy Advance"
Fire Emblem: The Sacred Stones,Intelligent Systems,tactical role-playing game,"Wii U, Nintendo 3DS, Game Boy Advance"
Fortune Builder,Unknown,Simulation video game,"ColecoVision, Coleco Adam"
Forza Motorsport (2023 video game),Turn 10 Studios,Sim racing,"Microsoft Windows, Xbox Series X and Series S"
Fracture (video game),Wargaming Chicago-Baltimore,Third-person shooter,"PlayStation 3, Xbox 360"
Freedom Force vs the 3rd Reich,Irrational Games,"real-time tactics, tactical role-playing game",Microsoft Windows
Gotcha! Extreme Paintball,Sixteen Tons Entertainment,"First-person shooter, Sports video game","Microsoft Windows, Xbox (console)"
Gunvalkyrie,Sega Sports R&D,"science fiction video game, third-person shooter",Unknown
Hegemony III: Clash of the Ancients,Longbow Games,"List of grand strategy video games, Real-time strategy",Microsoft Windows
Helldivers 2,Arrowhead Game Studios,Third-person shooter,Unknown
Heroes of Might and Magic V: Tribes of the East,Nival Interactive,turn-based strategy video game,Microsoft Windows
Heroes of the Lance,U.S. Gold,action-adventure game,"ZX Spectrum, Commodore 64, Commodore Amiga, DOS, NEC PC-9800 series, Nintendo Entertainment System, Atari ST, Amstrad CPC, FM Towns, MSX, NEC PC-8800 series"
Herzog Zwei,Technosoft,real-time strategy,Sega Genesis
Highway Blossoms,Studio Élan,Visual novel,Unknown
Homeworld,Relic Entertainment,Real-time strategy,"MacOS, Microsoft Windows"
Hour of Victory,Unknown,First-person shooter,"Microsoft Windows, Xbox 360"
House Flipper 2,Unknown,Simulation video game,Unknown
Iron Front: Liberation 1944,"AWAR, X1 Software",Tactical shooter,Microsoft Windows
Jacaranda Jim,Unknown,Unknown,Unknown
Jak 3,Naughty Dog,"Action-adventure game, Platformer",PlayStation 2
James Bond 007: Everything or Nothing,Visceral Games,third-person shooter,Nintendo GameCube
James Bond 007: Nightfire,Eurocom,first-person shooter,"Microsoft Windows, macOS, Nintendo GameCube"
Jeff Wayne's The War of the Worlds (1999 video game),Kheops Studio,"Strategy game, Third-person shooter, Vehicular combat game",PlayStation (console)
Jetfighter: Full Burn,Take-Two Interactive,Combat flight simulation game,MS-DOS
Jigsaw (video game),Graham Nelson,"Adventure game, Interactive fiction","Browser game, Z-machine"
Jimmie Johnson's Anything with an Engine,Luxoflux,Racing game,"PlayStation 3, Wii, Xbox 360"
Jumbly,Unknown,Unknown,Unknown
Just Dance 2021,List of Ubisoft subsidiaries,Music video game,Unknown
Just Dance: Summer Party,List of Ubisoft subsidiaries,"Music video game, Rhythm game",Wii
Kao the Kangaroo (2000 video game),"Tate Multimedia, Titus Interactive",Platformer,"Dreamcast, Game Boy Advance, Microsoft Windows"
Kinect Adventures!,"Good Science Studio, Keywords Studios","Adventure game, Sports video game",Xbox 360
Knighthood (2020 video game),Unknown,Unknown,Unknown
Legendary (video game),Spark Unlimited,First-person shooter,"Microsoft Windows, PlayStation 3, Xbox 360"
Lego Star Wars II: The Original Trilogy,Traveller's Tales,"platform game, action-adventure game","Microsoft Windows, macOS, Nintendo DS, PlayStation Portable, Nintendo GameCube, Game Boy Advance"
